brand,model,model_year,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,wiek,engine_hp,engine_cylinders,engine_fuel,engine_liters_log
Ford,Utility Police Interceptor Base,2013,51000.0,E85 Flex Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,10300.0,12,300.0,6.0,Flex Fuel,1.3083328199204491
INFINITI,Q50 Hybrid Sport,2015,88900.0,Hybrid,7-Speed A/T,Black,Black,None reported,Yes,15500.0,10,354.0,6.0,Electric,1.2527629687810824
Audi,S3 2.0T Premium Plus,2017,84000.0,Gasoline,6-Speed A/T,Blue,Black,None reported,Yes,31000.0,8,292.0,4.0,Gasoline,0.6931471810599453
BMW,740 iL,2001,242000.0,Gasoline,A/T,Green,Green,None reported,Yes,7300.0,24,282.0,8.0,Gasoline,1.4816045411514882
Lexus,RC 350 F Sport,2021,23436.0,Gasoline,6-Speed A/T,Black,Black,None reported,Yes,41927.0,4,311.0,6.0,Gasoline,1.2527629687810824
Toyota,Supra 3.0 Premium,2021,12500.0,Gasoline,A/T,Yellow,Black,None reported,Yes,53500.0,4,382.0,6.0,Gasoline,1.0986122890014431
Land,Rover LR4 HSE,2013,79800.0,Gasoline,A/T,White,Black,None reported,Yes,29990.0,12,375.0,8.0,Gasoline,1.6094379126341003
Dodge,Challenger SXT,2013,61074.0,Gasoline,A/T,Black,Gray,None reported,Yes,16800.0,12,305.0,6.0,Gasoline,1.280933845739842
Nissan,350Z Enthusiast,2003,74000.0,Gasoline,6-Speed M/T,Purple,–,None reported,Yes,11000.0,22,287.0,6.0,Gasoline,1.2527629687810824
Jaguar,F-TYPE R,2018,35250.0,Gasoline,8-Speed A/T,Green,Black,None reported,Yes,68750.0,7,550.0,8.0,Gasoline,1.6094379126341003
Genesis,GV70 3.5T Sport,2023,5400.0,Gasoline,8-Speed A/T,Green,Beige,,,60000.0,2,375.0,6.0,Gasoline,1.2527629687810824
Chevrolet,S-10 LS,2000,133510.0,E85 Flex Fuel,A/T,Blue,Black,None reported,Yes,4500.0,25,120.0,4.0,Flex Fuel,0.7884573608188158
Chevrolet,Suburban RST,2021,52000.0,Gasoline,10-Speed A/T,Blue,Black,None reported,Yes,61000.0,4,355.0,8.0,Gasoline,1.6677068207467554
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500.0,Gasoline,A/T,Gray,Black,None reported,Yes,59995.0,4,382.0,4.0,Gasoline,0.6931471810599453
BMW,650 Gran Coupe i xDrive,2015,69000.0,Gasoline,8-Speed A/T,Gray,Black,None reported,Yes,25700.0,10,445.0,8.0,Gasoline,1.4816045411514882
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800.0,Gasoline,9-Speed A/T,Silver,Black,None reported,Yes,48000.0,7,362.0,6.0,Gasoline,1.0986122890014431
Dodge,Ram 1500 Laramie Mega Cab,2006,300183.0,Gasoline,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,10900.0,19,345.0,8.0,Gasoline,1.7404661750159431
Kia,Sorento SX,2011,171000.0,Gasoline,A/T,Black,Black,None reported,Yes,5999.0,14,276.0,6.0,Gasoline,1.2527629687810824
